<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1517.97	1531.39	1517.23	1528.81	117851	0	2
2020.01.03	1528.55	1553.57	1527.98	1551.64	176596	0	2
2020.01.06	1558.55	1588.00	1558.55	1565.78	179576	0	2
2020.01.07	1564.34	1577.33	1555.34	1573.41	159834	0	2
2020.01.08	1574.22	1611.39	1552.26	1555.94	251360	0	2
2020.01.09	1556.23	1561.34	1540.27	1552.18	149197	0	2
2020.01.10	1552.60	1563.18	1545.75	1562.30	120234	0	2
2020.01.13	1559.33	1561.49	1546.58	1547.96	97553	0	2
2020.01.14	1548.46	1548.89	1535.95	1546.23	128466	0	2
2020.01.15	1546.48	1558.19	1546.40	1556.30	115911	0	2
2020.01.16	1555.72	1558.11	1548.04	1552.42	93331	0	2
2020.01.17	1552.22	1561.28	1549.42	1557.12	90747	0	2
2020.01.20	1557.23	1562.76	1556.37	1560.70	43676	0	2
2020.01.21	1560.88	1568.63	1546.38	1558.17	124213	0	2
2020.01.22	1558.80	1559.28	1550.20	1558.79	89702	0	2
2020.01.23	1558.79	1567.97	1551.94	1562.79	124750	0	2
2020.01.24	1562.49	1575.83	1556.56	1571.43	115510	0	2
2020.01.27	1581.21	1588.51	1575.90	1581.86	161267	0	2
2020.01.28	1581.58	1583.07	1565.57	1567.88	126826	0	2
2020.01.29	1566.89	1578.04	1563.40	1576.76	111628	0	2
2020.01.30	1576.86	1585.99	1572.30	1573.89	163993	0	2
2020.01.31	1574.18	1590.44	1570.98	1589.17	161457	0	2
2020.02.03	1593.12	1593.63	1569.70	1576.67	156669	0	2
2020.02.04	1576.76	1579.68	1549.08	1552.70	132568	0	2
2020.02.05	1552.59	1562.42	1547.51	1556.61	153561	0	2
2020.02.06	1555.94	1568.28	1552.54	1566.61	128650	0	2
2020.02.07	1566.63	1574.05	1561.17	1570.25	138887	0	2
2020.02.10	1572.04	1577.03	1568.00	1572.06	127691	0	2
2020.02.11	1572.12	1574.05	1562.16	1567.79	105892	0	2
2020.02.12	1567.69	1570.48	1561.81	1565.80	97142	0	2
2020.02.13	1565.95	1578.28	1565.59	1575.94	138706	0	2
2020.02.14	1575.91	1584.99	1573.08	1583.98	106350	0	2
2020.02.17	1581.52	1583.79	1578.90	1581.15	44813	0	2
2020.02.18	1580.32	1605.13	1580.32	1601.41	127001	0	2
2020.02.19	1601.44	1612.95	1599.53	1611.60	124863	0	2
2020.02.20	1611.64	1623.75	1603.92	1619.25	186464	0	2
2020.02.21	1619.56	1649.27	1618.98	1643.32	200536	0	2
2020.02.24	1653.32	1689.35	1650.90	1658.63	274083	0	0
2020.02.25	1659.19	1663.90	1625.17	1635.19	304180	0	2
2020.02.26	1634.58	1655.02	1624.89	1640.60	262063	0	2
2020.02.27	1640.69	1660.37	1635.27	1643.92	283675	0	2
2020.02.28	1644.49	1649.50	1562.89	1585.67	300076	0	2
2020.03.02	1591.59	1611.04	1575.41	1589.58	307233	0	2
2020.03.03	1589.51	1649.28	1584.83	1640.88	240303	0	2
2020.03.04	1639.88	1652.60	1631.89	1636.49	206097	0	2
2020.03.05	1636.77	1674.62	1634.97	1672.48	218222	0	2
2020.03.06	1671.97	1692.16	1642.41	1674.25	294028	0	2
